V4,V5,V7,V9,V10,V11,V13,V16,V17,V18,V19,V21,V22,V23,V27,V29,V30
82.04,43.22,55.73,61.68,56.95,34.14,69.62,31.33,120.24,49.8,45.6,78.98,75.93,48.72,58.56,66.8,48.11
81.33,33,55.29,67.28,46.55,30.36,72.78,31.93,125.33,47.06,38.36,73.6,75.2,51.51,58.42,83.26,55.68
70.72,34.77,59.71,67.02,43.18,29.04,66.58,31.81,86.58,55.58,34.54,62.54,92.58,50.25,67.17,77.34,55.56
78.89,41.44,81.43,83.21,59.77,36.25,68.99,40.74,97.26,49.72,59.83,77.32,85.74,58.83,74.7,94.01,59.74
89,50.86,75.74,93.51,61.01,41.08,77.31530735,47.86,85.35,57.61,82.04,79.29,94.39,64.84,86.12,100.37,69.45
87.09,36.37,80.85,95.8,63.1,41.6,99.48,48.29,97.8,55.29,76.84,73.79,92.39,61.97,90.97,95.41,65.75
49.84,25.47,54.48,61.66,38.67,30.37,64,27.88,59.76,40.28,51.42,42.41,71.63,37.53,56.31,79.21,63.29
38.01,38.26,53.57,65.33,38.42,28.81,61.7,29.3,76.52,43.52,28.07,52.56,62.66,44.23,46.96,59.58,73.72
30.62,16.24,47.8,50.35,25.52,27.77,41.31,19.56,56.5,26.05,20.41,42.18,38.21,33.76,43.34,48.96,38.98
29.27,11.71,23.58,34.61,16.4,24.96,29.08,15.47,72.61,13.63,17.12,30.53,34.74,22.9,26.87,55.26,27.76
31.45,17.7,32.26,29.72,24.88,25.71,29.8,20.93,36.64,27.31,14.45,43.51,39.75,26.87,25.93,35.58,37.74
33.61,26.64,32.58,48.26,28.2,25.26,35.02,18.56,31.2,23.44,18.12,34.49,47.87,32.03,35.77,43.79,42.27
35.28,23.72,25.52,28.86,19.73,27.45,30.48,13.88,38.8,26.47,12.54,26.43,38.66,24.41,24.15,37.2,28.18
30.82,25.40130764,23.34,27.38,20.01,25.12,31.89,10.55,42.22,21.51,16,34.12,38.45,23.08,27.51,35.7,34.34
32.61,26.60622445,26.86,28.74,24.45,31.82,29.17,10.88,108.73,28.3,17.94,26.18,53.34,21.87,27.47,41.5,44.05
24.27,27.81114127,26.73,25.1,25.31,24.82,24.97,16.82,59.36,11.1,14.77,24.58,45.17,17.51,24.11,30.06,33.88
