V4,V5,V7,V9,V10,V11,V13,V16,V17,V18,V19,V21,V22,V23,V27,V28,V29,V30
33.97,11.25,93.4,16.34,20.0145283,26.37,18.53,22.56,21.22,29.74,31.4,14.86737816,35.75,17.01,9.39,9.504228179,21.17,15.67
49.49,12.78,361,17.85,19.07891652,26.53,19.86,27.14,21.51,44.64,32.6,14.28930213,41.5,18.72,13.29,10.61,23.31,16.52
42.66641934,13.5,271.4797921,19.23,18.14330475,27.62,20.83,27.71,25.44,29.26,31.69,13.71122611,38.96,23.34,13.25,12.17,28.05,17.28
38.15,18.29,256.4166044,21.13,17.20769297,27.3,25.59,23.61,25.15,32.72,27.51,13.13315009,26.69,25.13,14.65,19.27,32.88,19
44.55,18.59,241.3534168,15.75,16.27208119,22.18,21.19,19.76,21.07,28.43,32.26,12.55507406,23.5,20.83,11.67,15.11,27.73,17.12572477
12.98,13.86,226.2902291,12.48,15.33646942,17.98,16.58,13.1,25.52,30.86,10.97,11.97699804,19.35,20.96,10.8,11.29,21.34,15.8352046
22.48,12.59,211.2270415,15.86,14.40085764,24.44,17.58,11.53,22.03,25.06,17.82,10.59,27.61,19.79,13.2,17.69,21.1,14.54468442
20.94,12.76,196.1638538,14,13.46524586,23.4,16.47,13.44,18.82,32.44,18.1,13.8,22.37,19.47,12.14,11.94,21.09,13.25416425
32.98,20.37,181.1006662,18.65,12.52963408,23.06,22.2,21.95,28.96,31.5,20.3,13.44248599,20.43,27.22,13.57,14.27,22.93,11.96364407
27.58,13.01,166.0374785,13.07,11.59402231,21.17,25.51,14.3,23.11,32.76577352,20.51,13.63658465,20.78,18.25,8.19,10.42,19.18,10.6731239
21.1,9.95,150.9742908,12.27,10.65841053,19.42,16.47,12.07,19.76,38.63,21.56,13.8306833,22.03,17.45,7.67,9.97,16.81,9.382603725
25.38,11.32,135.9111032,13.02,9.722798753,17.7,16.9,12.03,18.32,24.35,19.43,14.02478196,27.38,19.73,9.32,6.67,18.89,8.18
7.35,8.51,120.8479155,10.7,8.787186975,15.6,11.19,6.33,10.18,26.74039572,17.47,14.21888061,23.12,12.75,5.51,4.17,19.32752191,6.11
7.12,10.77,105.7847279,9.21,7.851575198,15.08,13.32,8.19,26.9,29.94,13.79,14.41297927,19.96,15.95,5.06,8.41,18.54,5.35
7.04,10.32,90.72154023,11.91,5.57,15.45,14.8,5.22,12.21,13.29,20.79,14.64,25.42,14.12,6.24,8.85,17.95,10.17
7.17,6.82,75.65835257,7.79,10.28,13.44,12.55,2.53,13.19,18.61,15.17,13.8,25,10.28,6.1,9.673228296,12.89,6.91
7.19,11.75,60.59516492,12.19,12.49,21.22,15.54,12.69,16.45,20.02,19.44,17.11,32.44,14,8.95,10.53388491,16.63,10.82
11.9,13.72,45.53197726,21.4,21.91,31.79,22.67,24.25,34.34,17.68,32.99,23.38,43.78,22.67,17.59,12.57,22.69,16.99
7.55,13.09,28.49,16.94,16.9,14.2,21.13,14.98,19.19,21.04,25.7,20.29,48.17,19.59,20.82,9.27,19.78,11.23
8.7,16.58,11.83,18.82,14.31,12.45,22.87,14,14.27,26.63,23.66,14.62,37.99,19.78,13.68,9.04,19.67,9.68
8.81,12.27,29.01,24.12,33.22,15.95,26.9,23.22,33.72,46.01,64.54,18.96,63.47,24.95,21.4,7.23,28.66,26.44
10.77,18.44,38.29,31.02,33.33,21.52,38.71,36.63,33.11,64.45,67.94,30.41,64.47,34.15,32.11,11.79,39.66,27.99
19.86,15.6,36.18741208,18.99,24.92,16.71,25.46,22.54,34.06,30.82,40.79,24.58,45.79,24.37,19.76,10.46,34.59,17.53
20.77,29.23,36.85581036,49.79,44.27,76.67,54.89,63.83,54.84,32.87,81.94,45.23,62.3,51.98,27.35,24.95,54.09,47.01
44.71,23.14,37.52420864,38.67,37.02,54.81,45.14,46.92,41.85,35.21,113.87,39.61,57.92,43.53,19.09,19.89,48.32,37.22
19.77,17.31,38.19260692,27.35,24.41,33.14,30.44,36.88,37.76,31.21,94.22,28.35,47.77,28,24.49,11.37,30.36,24.17
26.16,14.38,42.8,27.74,22.73,33.06,29.68,31.14,40.39,19.16,93.12,28.45,45.02,25.87,35.37,9.27,29.31,18.91
24.4,10,29.17,22.01,27.75,22.33,22.05,21.09,33.41,18.8,67.31,27.66,37.78,23.99,17.18,10.6,28.15,14.24
18.75,12.52,19.8,16.55,16.55,16.14,19.24,13.71,21.87,23.54,18.57,20.94,25.9,19.67,15.95,6.53,24.73,13.17
23.47,13.43,34.5,24.62,20.12,19.01,24.16,22.9,51.36,23.12,43.38,30.47,26.53208522,30.74,27.26,7.62,32.22,17.87
24.74,8.42,30.62,20.1,17.45,16.16,16.6,14.29,19.55,19.04,33.06,19.59,24.76116852,17.91,11.55,6.8,23.8,14.57
17.38,11.89,15.51,16.73,19.87,17.14,17.01,12.97,27.35,52.16,18.24,23.18,22.99025182,22.99,13.42,6.44,24.19,17.3
19.7,14.62,19.41,16.22,14.43,17.33,18.68,13.41,30.86,33.57,12.92,19.12,19.64,21.61,17.22,12.49,23.04,10.53
18.9,11.3,18.52,17.39,16.69411733,16.55,19.75,13.08,26.3,22.75,15.62,18.73,24.89,22.72,14.78,10.28,21.84,9.57
18.77,9.78,22.37,15.55,17.68853129,17.53,17.08,18.33,33.98,19.86,25.72,20.03,24.18,18,18.64,6.84,46.07,8.56
20.94,10.56,27.37,15.65,18.68294525,17.95,18.34,16.84,30.7,38.85,33.75,18.82,26.54,15.93,11.78,5.6,18.08,10.29
20.38,8.36,27.93,17.06,20.04,15.62,18.08,17.29,26.19,14.56,26.96,20.07,30.16,15.78,14.76,5.11,21.69,11.39
18.98,10.96,29.41,16.75,18.82,14.94,16.04,17.02,22.47,42.9,24.09,19.12,29.12,18.36,20.76,8.43,19.28,11.26
20.61,11.3,38.84,21.42,21.87,19.2,19.37,22.06,30.51,16.71,46.83,24.94,29.02,22.05,19.81,8.79,20.15,12.48
23.63,11.37,35.59,24.51,23.09,22.22,24.39,26.02,21.04,17.17,63.98,23.85,35.66,23.51,21.72,10.62,22.07,14.42
